Direction,No.,percentage
N,1,0.37
NNE,2,5.02
NE,3,17.59
ENE,4,19.9
E,5,9.42
ESE,6,6.36
SE,7,6.36
SSE,8,10.3
S,9,16.11
SSW,10,3.67
SW,11,1.57
WSW,12,1.52
W,13,1.18
WNW,14,0.29
NW,15,0.17
NNW,16,0.17
